year,round,grid,positionOrder
2021,2,19,17
2021,2,8,18
2021,2,12,19
2021,2,14,20
2021,3,2,1
2021,3,3,2
2021,3,1,3
2021,3,4,4
2021,3,7,5
2021,3,8,6
2021,3,6,7
2021,3,13,8
2021,3,16,9
2021,3,9,10
2021,3,5,11
2021,3,12,12
2021,3,10,13
2021,3,17,14
2021,3,14,15
2021,3,11,16
2021,3,19,17
2021,3,18,18
2021,3,20,19
2021,3,15,20
2021,4,1,1
2021,4,2,2
2021,4,3,3
2021,4,4,4
2021,4,8,5
2021,4,7,6
2021,4,6,7
2021,4,9,8
2021,4,5,9
2021,4,12,10
2021,4,11,11
2021,4,17,12
2021,4,13,13
2021,4,15,14
2021,4,14,15
2021,4,19,16
2021,4,10,17
2021,4,18,18
2021,4,20,19
2021,4,16,20
2021,5,4,2
2021,5,2,1
2021,5,5,3
2021,5,9,4
2021,5,8,5
2021,5,6,6
2021,5,7,7
2021,5,13,8
2021,5,11,9
2021,5,10,10
2021,5,14,11
2021,5,12,12
2021,5,17,13
2021,5,15,14
2021,5,18,15
2021,5,16,16
2021,5,19,17
2021,5,20,18
2021,5,3,19
2021,5,1,20
2021,6,6,1
2021,6,11,2
2021,6,4,3
2021,6,1,4
2021,6,9,5
2021,6,8,6
2021,6,7,7
2021,6,5,8
2021,6,13,9
2021,6,14,10
2021,6,20,11
2021,6,10,12
2021,6,17,13
2021,6,18,14
2021,6,2,15
2021,6,16,16
2021,6,15,17
2021,6,3,18
2021,6,19,19
2021,6,12,20
2021,7,1,1
2021,7,2,2
2021,7,4,3
2021,7,3,4
2021,7,8,5
2021,7,10,6
2021,7,6,7
2021,7,9,8
2021,7,12,9
2021,7,19,10
2021,7,5,11
2021,7,14,12
2021,7,0,13
2021,7,11,14
2021,7,13,15
2021,7,7,16
2021,7,17,17
2021,7,16,18
2021,7,15,19
2021,7,18,20
2021,8,1,1
2021,8,2,2
2021,8,5,3
2021,8,4,4
2021,8,3,5
2021,8,12,6
2021,8,7,7
2021,8,9,8
2021,8,8,9
2021,8,11,10
2021,8,18,11
2021,8,14,12
2021,8,13,13
2021,8,17,14
2021,8,15,15
2021,8,19,16
2021,8,16,17
2021,8,20,18
2021,8,10,19
2021,8,6,20
2021,9,1,1
2021,9,5,2
2021,9,2,3
2021,9,4,4
2021,9,10,5
2021,9,3,6
2021,9,13,7
2021,9,12,8
2021,9,6,9
2021,9,14,10
2021,9,8,11
2021,9,7,12
2021,9,9,13
2021,9,15,14
2021,9,16,15
2021,9,18,16
2021,9,11,17
2021,9,19,18
2021,9,20,19
2021,9,17,20
2021,10,2,1
2021,10,4,2
2021,10,3,3
2021,10,5,4
2021,10,6,5
2021,10,10,6
2021,10,7,7
2021,10,14,8
2021,10,9,9
2021,10,16,10
2021,10,11,11
2021,10,12,12
2021,10,15,13
2021,10,17,14
2021,10,13,15
2021,10,0,16
2021,10,19,17
2021,10,18,18
2021,10,8,19
2021,10,1,20
2021,11,8,1
2021,11,1,2
2021,11,15,3
2021,11,9,4
2021,11,5,5
2021,11,16,6
2021,11,18,7
2021,11,17,8
2021,11,3,9
2021,11,13,10
2021,11,11,11
2021,11,20,12
2021,11,0,13
2021,11,19,14
2021,11,6,15
2021,11,2,16
2021,11,4,17
2021,11,7,18
2021,11,12,19
2021,11,10,20
2021,12,1,1
2021,12,2,2
2021,12,3,3
2021,12,4,4
2021,12,5,5
2021,12,6,6
2021,12,8,7
2021,12,9,8
2021,12,10,9
2021,12,11,10
2021,12,12,11
2021,12,13,12
2021,12,14,13
2021,12,15,14
2021,12,16,15
2021,12,17,16
2021,12,18,17
2021,12,0,18
2021,12,0,19
2021,12,19,20
2021,13,1,1
2021,13,2,2
2021,13,3,3
2021,13,4,4
2021,13,5,5
2021,13,9,6
2021,13,6,7
2021,13,0,8
2021,13,8,9
2021,13,13,10
2021,13,10,11
2021,13,12,12
2021,13,15,13
2021,13,7,14
2021,13,16,15
2021,13,0,16
2021,13,11,17
2021,13,17,18
2021,13,14,19
2021,13,18,20
2021,14,2,1
2021,14,3,2
2021,14,19,3
2021,14,5,4
2021,14,8,5
2021,14,6,6
2021,14,9,7
2021,14,10,8
2021,14,14,9
2021,14,12,10
2021,14,13,11
2021,14,11,12
2021,14,7,13
2021,14,17,14
2021,14,18,15
2021,14,16,16
2021,14,4,17
2021,14,1,18
2021,14,0,19
2021,14,0,20
2021,15,4,1
2021,15,20,2
2021,15,2,3
2021,15,5,4
2021,15,16,5
2021,15,6,6
2021,15,1,7
2021,15,13,8
2021,15,8,9
2021,15,3,10
2021,15,7,11
2021,15,10,12
2021,15,11,13
2021,15,9,14
2021,15,19,15
2021,15,17,16
2021,15,12,17
2021,15,15,18
2021,15,18,19
2021,15,14,20
2021,16,1,1
2021,16,2,2
2021,16,6,3
2021,16,3,4
2021,16,11,5
2021,16,4,6
2021,16,7,7
2021,16,19,8
2021,16,8,9
2021,16,12,10
2021,16,16,11
2021,16,17,12
2021,16,20,13
2021,16,9,14
2021,16,13,15
2021,16,5,16
2021,16,15,17
2021,16,10,18
2021,16,14,19
2021,16,18,20
2021,17,1,1
2021,17,2,2
2021,17,3,3
2021,17,4,4
2021,17,6,5
2021,17,9,6
2021,17,5,7
2021,17,7,8
2021,17,10,9
2021,17,18,10
2021,17,12,11
2021,17,13,12
2021,17,15,13
2021,17,20,14
2021,17,14,15
2021,17,16,16
2021,17,17,17
2021,17,19,18
2021,17,11,19
2021,17,8,20
2021,18,3,1
2021,18,2,2
2021,18,4,3
2021,18,5,4
2021,18,8,5
2021,18,6,6
2021,18,9,7
2021,18,10,8
2021,18,12,9
2021,18,18,10
2021,18,11,11
2021,18,7,12
2021,18,19,13
2021,18,20,14
2021,18,1,15
2021,18,16,16
2021,18,13,17
2021,18,15,18
2021,18,14,19
2021,18,17,20
2021,19,10,1
2021,19,2,2
2021,19,1,3
2021,19,4,4
2021,19,6,5
2021,19,3,6
2021,19,7,7
2021,19,8,8
2021,19,12,9
